Network Code,Station Code,Start Time,End Time
O2,ALVA,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,ARC2,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,CALT,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,CHAN,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,CRES,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,CVNG,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,DOVR,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,DRIP,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,DUST,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,ERNS,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,FREE,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,FW01,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,FW03,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,FW06,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,FW07,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,FW10,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,GORE,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,KS01,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,KS08,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,KS13,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,POCA,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,PW01,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,PW05,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,PW06,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,PW10,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,PW13,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,PW18,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,PW19,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,PW30,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,QUIN,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,RNSP,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,ROSS,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SAND,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC01,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC03,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC04,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC06,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC07,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC08,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC09,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC10,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC11,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC12,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC13,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC14,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC15,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC16,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC17,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC19,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SC20,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,SMNL,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,STIG,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,TUTT,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,UCTY,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,WADE,2025-01-15T00:00:00,2025-02-16T00:00:00
O2,YUKO,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,AMES,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,BCOK,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,BLOK,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,BLUF,2025-01-15T00:00:00,2025-02-16T00:00:00
