idx,time,x,y,z,picks,latitude,longitude,depth,folder,date
0,2022-01-01 00:18:35.417149+00:00,-26.917405343201143,128.9965888912152,6.640625,23,36.66216438761994,-98.80107593324142,6.640625,Group_easyQ_20220101,20220101
1,2022-01-01 01:10:25.335078+00:00,60.43719312907426,-26.282181995037547,0.390625,8,35.26128893400792,-97.83583835473092,0.390625,Group_easyQ_20220101,20220101
2,2022-01-01 01:24:42.826414+00:00,287.96544961500086,-37.87014997162357,3.515625,19,35.11748389542786,-95.34155732832907,3.515625,Group_easyQ_20220101,20220101
3,2022-01-01 04:16:10.961316+00:00,265.6189244244188,-37.87014997162357,1.171875,10,35.123621350062905,-95.58636325748034,1.171875,Group_easyQ_20220101,20220101
4,2022-01-01 05:36:25.368376+00:00,59.4214419840478,37.837907475405125,0.390625,18,35.83922696884931,-97.84229734501366,0.390625,Group_easyQ_20220101,20220101
5,2022-01-01 10:15:47.323625+00:00,83.7994694646828,-64.1362107185519,0.390625,127,34.918446596450906,-97.58295619412678,0.390625,Group_easyQ_20220101,20220101
6,2022-01-01 13:49:59.990958+00:00,82.78371831965634,-62.59114832167375,5.078125,23,34.932455330146475,-97.5939175585135,5.078125,Group_easyQ_20220101,20220101
7,2022-01-01 15:17:19.279656+00:00,74.65770915944469,133.63177608184958,0.390625,118,36.7013824166097,-97.66452372761286,0.390625,Group_easyQ_20220101,20220101
8,2022-01-01 15:54:07.889614+00:00,73.64195801441824,133.63177608184958,0.390625,103,36.70146163923909,-97.67588967832393,0.390625,Group_easyQ_20220101,20220101
9,2022-01-01 19:06:15.804910+00:00,457.5958908344194,353.030636438545,99.609375,33,38.56316278126223,-93.25137058768397,99.609375,Group_easyQ_20220101,20220101
10,2022-01-01 19:26:02.657051+00:00,-129.50827099087343,-315.2088502112491,0.390625,24,32.6507421596006,-99.88033944999454,0.390625,Group_easyQ_20220101,20220101
0,2022-01-02 05:07:21.781336+00:00,15.744142747910104,156.80771203502167,0.390625,22,36.91302365140074,-98.323323827625,0.390625,Group_easyQ_20220102,20220102
1,2022-01-02 06:05:12.602281+00:00,43.16942366362447,242.5586750617582,1.953125,11,37.684787184697726,-98.01059154283942,1.953125,Group_easyQ_20220102,20220102
2,2022-01-02 08:31:03.146491+00:00,-0.5078755725132291,117.40862091462915,25.390625,11,36.55812078792356,-98.5056730599576,25.390625,Group_easyQ_20220102,20220102
3,2022-01-02 09:35:08.408049+00:00,0.5078755725132291,118.95368331150728,10.546875,9,36.57204409346888,-98.49432592184444,10.546875,Group_easyQ_20220102,20220102
4,2022-01-02 12:31:47.190929+00:00,73.64195801441824,133.63177608184958,1.953125,55,36.70146163923909,-97.67588967832393,1.953125,Group_easyQ_20220102,20220102
5,2022-01-02 13:14:11.834076+00:00,87.86247404478863,353.8031676369841,0.390625,29,38.68364563248553,-97.4902237323704,0.390625,Group_easyQ_20220102,20220102
6,2022-01-02 13:22:58.174601+00:00,-24.885903053148223,106.5931841364822,6.640625,12,36.46033398155132,-98.77763018083296,6.640625,Group_easyQ_20220102,20220102
7,2022-01-02 17:21:09.499774+00:00,-25.901654198174683,106.5931841364822,12.890625,13,36.46030708551659,-98.78896189722656,12.890625,Group_easyQ_20220102,20220102
8,2022-01-02 19:03:28.417293+00:00,-22.854400763095317,91.9150913661399,2.734375,22,36.32811065881654,-98.7545350766797,2.734375,Group_easyQ_20220102,20220102
9,2022-01-02 19:42:07.362519+00:00,108.1774969453178,106.5931841364822,16.796875,57,36.45455649977646,-97.29327318288809,16.796875,Group_easyQ_20220102,20220102
10,2022-01-02 19:59:16.089644+00:00,88.87822518981508,88.05243537394458,4.296875,70,36.28947876073799,-97.51064341352098,4.296875,Group_easyQ_20220102,20220102
11,2022-01-02 21:03:33.214709+00:00,-19.807147328015937,105.82065293804314,12.890625,12,36.45349059720222,-98.72095164075976,12.890625,Group_easyQ_20220102,20220102
12,2022-01-02 21:08:16.666793+00:00,-292.0284541951067,-386.28172046764337,50.390625,6,31.97979411249917,-101.58913303661372,50.390625,Group_easyQ_20220102,20220102
